cable_name,rfs,cable_length,owners,suppliers,submarine_networks_url,submarine_cable_map_url
fish-west,2026,276 km,Cordova Telecom Cooperative,https://www.ctcak.net/,Not Given,https://www.submarinecablemap.com/submarine-cable/fish-west
flag-atlantic-1-fa-1,2001 June,"14,500 km",Global Cloud Xchange,ASN,https://subsea.gcxworld.com/,https://www.submarinecablemap.com/submarine-cable/flag-atlantic-1-fa-1
flag-europe-asia-fea,1997 November,"28,000 km",Global Cloud Xchange,SubCom,https://subsea.gcxworld.com/,https://www.submarinecablemap.com/submarine-cable/flag-europe-asia-fea
flag-north-asia-loopreach-north-asia-loop,2001 June,"9,504 km",Global Cloud Xchange -  PCCW -  Telstra,ASN -  Fujitsu,Not Given,https://www.submarinecablemap.com/submarine-cable/flag-north-asia-loopreach-north-asia-loop
flores-corvo-cable-system,2014 January,685 km,Viatel,HMN Tech,http://www.viatel.pt/,https://www.submarinecablemap.com/submarine-cable/flores-corvo-cable-system
fly-lion3,2019 October,400 km,Comoros Cables -  Orange -  Société Réunionnaise du Radiotéléphone,ASN,Not Given,https://www.submarinecablemap.com/submarine-cable/fly-lion3
fos-quellon-chacabuco,2015 January,350 km,Grupo Gtd,https://www.gtd.cl,Not Given,https://www.submarinecablemap.com/submarine-cable/fos-quellon-chacabuco
galapagos-cable-system,2025,"1,250 km",Galápagos Cable Systems,Xtera,https://www.gcs.ec/,https://www.submarinecablemap.com/submarine-cable/galapagos-cable-system
gemini-bermuda,2007 October,"1,287 km",Liberty Latin America (LLA),https://libertynet.com/contact,Not Given,https://www.submarinecablemap.com/submarine-cable/gemini-bermuda
geo-eirgrid,2012 December,187 km,Eirgrid,Nexans,http://www.zayo.com/,https://www.submarinecablemap.com/submarine-cable/geo-eirgrid
georgia-russia,2000 December,433 km,FOPTNET -  GEO-METRIA -  Rostelecom,ASN,https://www.company.rt.ru/,https://www.submarinecablemap.com/submarine-cable/georgia-russia
germany-denmark-3,2000 March,n.a.,TDC Group,Not Given,Not Given,https://www.submarinecablemap.com/submarine-cable/germany-denmark-3
glo-1,2010 October,"9,800 km",Globacom Limited,ASN,https://www.gloworld.com/,https://www.submarinecablemap.com/submarine-cable/glo-1
